subject,mk10_SearchEncode,enc_Search,mk11_SearchTarget,test_Search_Target,mk12_SearchDistr,test_Search_Distractor,mk13_SearchLure,test_Search_Lure,mk20_MemEncode,enc_Mem,mk21_MemTarget,test_Mem_Target,mk22_MemDistr,test_Mem_Distractor,mk23_MemLure,test_Mem_Lure
sub-01,55,50,50,50,25,25,75,75,55,50,50,50,25,25,75,75
sub-02,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-03,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-04,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-05,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-06,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-07,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-08,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-10,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-11,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-12,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-13,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-14,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-15,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-16,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-17,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-18,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-19,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-20,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-21,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-22,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-23,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-24,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-25,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-26,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-27,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-28,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-29,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
sub-30,50,50,50,50,25,25,75,75,50,50,50,50,25,25,75,75
