subject,task,n_markers,n_rows,n_na_rt_excluded,residual_sd,fitted_ITI,corr,window,margin_ms
sub-01,Search,55,50,0,3.93,2324.8,1.0,markers 6-55,3271.8
sub-01,Memorization,55,50,0,4.01,3133.26,0.9999,markers 6-55,404.1
sub-02,Search,50,50,0,4.22,2324.12,1.0,n/a (exact match),
sub-02,Memorization,50,50,0,3.99,3134.35,0.9999,n/a (exact match),
sub-03,Search,50,50,0,4.99,2324.09,1.0,n/a (exact match),
sub-03,Memorization,50,50,0,5.85,3133.83,0.9998,n/a (exact match),
sub-04,Search,50,50,0,4.7,2323.47,1.0,n/a (exact match),
sub-04,Memorization,50,50,0,4.06,3132.47,0.9999,n/a (exact match),
sub-05,Search,50,50,0,4.76,2324.26,1.0,n/a (exact match),
sub-05,Memorization,50,50,0,4.46,3132.77,0.9999,n/a (exact match),
sub-06,Search,50,50,0,4.27,2324.1,1.0,n/a (exact match),
sub-06,Memorization,50,50,0,2.53,3132.38,1.0,n/a (exact match),
sub-07,Search,50,50,0,4.18,2325.05,1.0,n/a (exact match),
sub-07,Memorization,50,50,0,4.73,3133.03,0.9998,n/a (exact match),
sub-08,Search,50,50,0,1.9,2323.42,1.0,n/a (exact match),
sub-08,Memorization,50,50,0,4.46,3133.34,0.9999,n/a (exact match),
sub-10,Search,50,50,1,3.87,2323.42,1.0,n/a (exact match),
sub-10,Memorization,50,50,0,5.08,3133.55,0.9998,n/a (exact match),
sub-11,Search,50,50,0,4.85,2324.14,1.0,n/a (exact match),
sub-11,Memorization,50,50,0,2.17,3132.35,1.0,n/a (exact match),
sub-12,Search,50,50,1,3.89,2323.61,1.0,n/a (exact match),
sub-12,Memorization,50,50,0,3.75,3132.77,0.9999,n/a (exact match),
sub-13,Search,50,50,0,4.68,2324.21,1.0,n/a (exact match),
sub-13,Memorization,50,50,0,4.26,3132.9,0.9999,n/a (exact match),
sub-14,Search,50,50,0,6.16,2323.94,1.0,n/a (exact match),
sub-14,Memorization,50,50,0,4.66,3133.49,0.9999,n/a (exact match),
sub-15,Search,50,50,1,5.79,2324.89,1.0,n/a (exact match),
sub-15,Memorization,50,50,0,3.98,3133.16,0.9999,n/a (exact match),
sub-16,Search,50,50,1,4.03,2324.36,1.0,n/a (exact match),
sub-16,Memorization,50,50,0,3.62,3133.49,0.9999,n/a (exact match),
sub-17,Search,50,50,0,4.64,2324.58,1.0,n/a (exact match),
sub-17,Memorization,50,50,0,4.29,3133.38,0.9999,n/a (exact match),
sub-18,Search,50,50,0,1.95,2322.88,1.0,n/a (exact match),
sub-18,Memorization,50,50,0,6.67,3134.64,0.9997,n/a (exact match),
sub-19,Search,50,50,0,5.32,2324.28,1.0,n/a (exact match),
sub-19,Memorization,50,50,0,4.85,3132.51,0.9999,n/a (exact match),
sub-20,Search,50,50,0,3.72,2323.68,1.0,n/a (exact match),
sub-20,Memorization,50,50,0,6.44,3134.29,0.9997,n/a (exact match),
sub-21,Search,50,50,1,4.72,2324.06,1.0,n/a (exact match),
sub-21,Memorization,50,50,0,3.83,3132.92,0.9999,n/a (exact match),
sub-22,Search,50,50,0,4.58,2323.88,1.0,n/a (exact match),
sub-22,Memorization,50,50,0,5.24,3134.43,0.9999,n/a (exact match),
sub-23,Search,50,50,0,4.4,2323.79,1.0,n/a (exact match),
sub-23,Memorization,50,50,0,4.75,3133.2,0.9999,n/a (exact match),
sub-24,Search,50,50,0,2.27,2323.66,1.0,n/a (exact match),
sub-24,Memorization,50,50,0,6.41,3134.63,0.9997,n/a (exact match),
sub-25,Search,50,50,0,3.3,2324.1,1.0,n/a (exact match),
sub-25,Memorization,50,50,0,3.58,3133.0,0.9999,n/a (exact match),
sub-26,Search,50,50,0,2.07,2323.1,1.0,n/a (exact match),
sub-26,Memorization,50,50,0,5.19,3133.85,0.9998,n/a (exact match),
sub-27,Search,50,50,0,6.1,2324.84,0.9999,n/a (exact match),
sub-27,Memorization,50,50,0,2.41,3132.6,1.0,n/a (exact match),
sub-28,Search,50,50,1,5.2,2323.55,1.0,n/a (exact match),
sub-28,Memorization,50,50,0,4.48,3133.78,0.9999,n/a (exact match),
sub-29,Search,50,50,0,7.0,2325.74,1.0,n/a (exact match),
sub-29,Memorization,50,50,0,4.99,3133.53,0.9999,n/a (exact match),
sub-30,Search,50,50,0,2.02,2323.34,1.0,n/a (exact match),
sub-30,Memorization,50,50,0,3.62,3133.06,0.9999,n/a (exact match),
